OPER,CUST,B/D#,MODEL,G.UPH
2200,WINBOND,AAB008YB2005A,MAXUM-CU,0.0000
2200,WINBOND,AAB008YB2005A,ICONN,1232.2680
2200,WINBOND,AAB008YB2005A,RAPID,0.0000
2200,WINBOND,AAB008YB2005A,ICONN-PLUS,1232.2680
2200,WINBOND,AAB008YB2005A,MAXUM,1124.4932
2200,ChipMOS,AAB008YB2003A,RAPID,0.0000
2200,ChipMOS,AAB008YB2003A,ICONN,1365.8501
2200,ChipMOS,AAB008YB2003A,MAXUM-CU,0.0000
2200,ChipMOS,AAB008YB2003A,MAXUM,1026.8929
2200,ChipMOS,AAB008YB2003A,ICONN-PLUS,1365.8501
2200,ChipMOS,AAB008YB2003A,MAXUM-BASE,1029.8304
2200,ChipMOS,AAB008YB2003A,MAXUM-PLUS,953.4602
2200,WINBOND,AAB008YB2003A,ICONN,1365.8501
2200,WINBOND,AAB008YB2003A,RAPID,0.0000
2200,WINBOND,AAB008YB2003A,ICONN-PLUS,1365.8501
2200,WINBOND,AAB008YB2003A,MAXUM-CU,0.0000
2200,WINBOND,AAB008YB2003A,MAXUM,1026.8929
2200,WINBOND,AAB008YB2003A,MAXUM-BASE,1029.8304
2200,WINBOND,AAB008YB2003A,MAXUM-PLUS,953.4602
2200,ChipMOS,AAB008YB2008A,MAXUM-BASE,1029.8304
2200,ChipMOS,AAB008YB2008A,RAPID,0.0000
